indexid,tradedate,ticker,shortnames,weight
IMOEX,2026-07-27,AFKS,Система ао,0.31
IMOEX,2026-07-27,AFLT,Аэрофлот,0.45
IMOEX,2026-07-27,ALRS,АЛРОСА ао,0.36
IMOEX,2026-07-27,BSPB,БСП ао,0.35
IMOEX,2026-07-27,CBOM,МКБ ао,0.84
IMOEX,2026-07-27,CHMF,СевСт-ао,0.83
IMOEX,2026-07-27,CNRU,iЦиан,0.31
IMOEX,2026-07-27,DOMRF,ДОМ.РФ,0.69
IMOEX,2026-07-27,ENPG,ЭН+ГРУП ао,0.46
IMOEX,2026-07-27,FLOT,Совкомфлот,0.35
IMOEX,2026-07-27,GAZP,ГАЗПРОМ ао,9.1
IMOEX,2026-07-27,GMKN,ГМКНорНик,4.05
IMOEX,2026-07-27,HEAD,Хэдхантер,1.15
IMOEX,2026-07-27,IRAO,ИнтерРАОао,1.05
IMOEX,2026-07-27,LENT,Лента ао,0.36
IMOEX,2026-07-27,LKOH,ЛУКОЙЛ,16.57
IMOEX,2026-07-27,MAGN,ММК,0.45
IMOEX,2026-07-27,MDMG,MDMG-ао,0.41
IMOEX,2026-07-27,MOEX,МосБиржа,1.15
IMOEX,2026-07-27,MSNG,+МосЭнерго,0.17
IMOEX,2026-07-27,MTSS,МТС-ао,1.08
IMOEX,2026-07-27,NLMK,НЛМК ао,0.76
IMOEX,2026-07-27,NVTK,Новатэк ао,4.48
IMOEX,2026-07-27,OZON,Озон,2.85
IMOEX,2026-07-27,PHOR,ФосАгро ао,0.64
IMOEX,2026-07-27,PLZL,Полюс,2.79
IMOEX,2026-07-27,POSI,iПозитив,0.29
IMOEX,2026-07-27,RAGR,Русагро,0.33
IMOEX,2026-07-27,RENI,Ренессанс,0.2
IMOEX,2026-07-27,ROSN,Роснефть,2.79
IMOEX,2026-07-27,RTKM,Ростел -ао,0.49
IMOEX,2026-07-27,RUAL,РУСАЛ ао,0.8
IMOEX,2026-07-27,SBER,Сбербанк,12.43
IMOEX,2026-07-27,SBERP,Сбербанк-п,2.42
IMOEX,2026-07-27,SNGS,Сургнфгз,1.62
IMOEX,2026-07-27,SNGSP,Сургнфгз-п,1.87
IMOEX,2026-07-27,SVCB,Совкомбанк,0.55
IMOEX,2026-07-27,T,Т-Техно ао,5.07
IMOEX,2026-07-27,TATN,Татнфт 3ао,4.9
IMOEX,2026-07-27,TATNP,Татнфт 3ап,0.86
IMOEX,2026-07-27,TRNFP,Транснф ап,0.44
IMOEX,2026-07-27,UGLD,ЮГК,0.26
IMOEX,2026-07-27,VKCO,"МКПАО ""ВК""",0.26
IMOEX,2026-07-27,VTBR,ВТБ ао,2.65
IMOEX,2026-07-27,X5,КЦ ИКС 5,2.83
IMOEX,2026-07-27,YDEX,ЯНДЕКС,6.95
MOEXOG,2026-07-27,BANEP,Башнефт ап,0.86
MOEXOG,2026-07-27,GAZP,ГАЗПРОМ ао,18.48
MOEXOG,2026-07-27,LKOH,ЛУКОЙЛ,21.78
MOEXOG,2026-07-27,NVTK,Новатэк ао,15.81
MOEXOG,2026-07-27,RNFT,РуссНфт ао,0.38
MOEXOG,2026-07-27,ROSN,Роснефть,9.83
MOEXOG,2026-07-27,SNGS,Сургнфгз,5.71
MOEXOG,2026-07-27,SNGSP,Сургнфгз-п,6.6
MOEXOG,2026-07-27,TATN,Татнфт 3ао,16.17
MOEXOG,2026-07-27,TATNP,Татнфт 3ап,2.84
MOEXOG,2026-07-27,TRNFP,Транснф ап,1.54
MOEXFN,2026-07-27,BSPB,БСП ао,5.43
MOEXFN,2026-07-27,CBOM,МКБ ао,13.19
MOEXFN,2026-07-27,DOMRF,ДОМ.РФ,10.78
MOEXFN,2026-07-27,MBNK,МТС Банк,1.15
MOEXFN,2026-07-27,MOEX,МосБиржа,15.05
MOEXFN,2026-07-27,RENI,Ренессанс,3.13
MOEXFN,2026-07-27,SBER,Сбербанк,12.03
MOEXFN,2026-07-27,SBERP,Сбербанк-п,2.34
MOEXFN,2026-07-27,SFIN,ЭсЭфАй ао,0.5
MOEXFN,2026-07-27,SPBE,СПБ Биржа,0.63
MOEXFN,2026-07-27,SVCB,Совкомбанк,8.53
MOEXFN,2026-07-27,T,Т-Техно ао,14.76
